v8-version,7,8,279,23,-node.46,0
shared-library,/home/skug/.nvm/versions/node/v12.22.1/bin/node,0x400000,0x2ab5000,0
shared-library,/usr/lib/libc-2.33.so,0x7ff1ab562000,0x7ff1ab6d3000,0
shared-library,/usr/lib/libpthread-2.33.so,0x7ff1ab72e000,0x7ff1ab744000,0
shared-library,/usr/lib/libgcc_s.so.1,0x7ff1ab74f000,0x7ff1ab764000,0
shared-library,/usr/lib/libm-2.33.so,0x7ff1ab76a000,0x7ff1ab813000,0
shared-library,/usr/lib/libstdc++.so.6.0.29,0x7ff1ab8ae000,0x7ff1aba47000,0
shared-library,/usr/lib/libdl-2.33.so,0x7ff1abac4000,0x7ff1abac8000,0
shared-library,/usr/lib/ld-2.33.so,0x7ff1abb0b000,0x7ff1abb30000,0
shared-library,[vdso],0x7ffdc6ff9000,0x7ffdc6ffb000,0
profiler,begin,1000
tick,0x7ff1ab65193f,429,0,0x0,6
code-creation,Builtin,3,1423,0x138c420,1634,RecordWrite
code-creation,Builtin,3,1431,0x138caa0,457,EphemeronKeyBarrier
code-creation,Builtin,3,1433,0x138cc80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1436,0x138ccc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1438,0x138ce00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1441,0x138cee0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1443,0x138d000,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1446,0x138d120,130,CallBoundFunction
code-creation,Builtin,3,1448,0x138d1c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1450,0x138d240,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1452,0x138d2c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,1454,0x138d340,890,CallProxy
code-creation,Builtin,3,1456,0x138d6c0,78,CallVarargs
code-creation,Builtin,3,1458,0x138d720,996,CallWithSpread
code-creation,Builtin,3,1463,0x138db20,990,CallWithArrayLike
code-creation,Builtin,3,1465,0x138df00,103,CallForwardVarargs
code-creation,Builtin,3,1467,0x138df80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,1469,0x138e000,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1475,0x138e0a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1478,0x138e1c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1480,0x138e340,26,ConstructFunction
code-creation,Builtin,3,1482,0x138e360,130,ConstructBoundFunction
code-creation,Builtin,3,1485,0x138e400,28,ConstructedNonConstructable
code-creation,Builtin,3,1488,0x138e420,86,Construct
code-creation,Builtin,3,1490,0x138e480,78,ConstructVarargs
code-creation,Builtin,3,1493,0x138e4e0,1020,ConstructWithSpread
code-creation,Builtin,3,1496,0x138e8e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,1499,0x138ed20,142,ConstructForwardVarargs
code-creation,Builtin,3,1501,0x138edc0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1504,0x138ee60,328,JSConstructStubGeneric
