v8-version,7,8,279,23,-node.46,0
shared-library,/home/skug/.nvm/versions/node/v12.22.1/bin/node,0x400000,0x2ab5000,0
shared-library,/usr/lib/libc-2.33.so,0x7f1b2a99f000,0x7f1b2ab10000,0
shared-library,/usr/lib/libpthread-2.33.so,0x7f1b2ab6b000,0x7f1b2ab81000,0
shared-library,/usr/lib/libgcc_s.so.1,0x7f1b2ab8c000,0x7f1b2aba1000,0
shared-library,/usr/lib/libm-2.33.so,0x7f1b2aba7000,0x7f1b2ac50000,0
shared-library,/usr/lib/libstdc++.so.6.0.29,0x7f1b2aceb000,0x7f1b2ae84000,0
shared-library,/usr/lib/libdl-2.33.so,0x7f1b2af01000,0x7f1b2af05000,0
shared-library,/usr/lib/ld-2.33.so,0x7f1b2af48000,0x7f1b2af6d000,0
shared-library,[vdso],0x7ffec43be000,0x7ffec43c0000,0
profiler,begin,1000
tick,0x7f1b2ab808ca,459,0,0x0,6
code-creation,Builtin,3,1445,0x138c420,1634,RecordWrite
code-creation,Builtin,3,1453,0x138caa0,457,EphemeronKeyBarrier
code-creation,Builtin,3,1456,0x138cc80,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1458,0x138ccc0,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1461,0x138ce00,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1463,0x138cee0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1466,0x138d000,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1468,0x138d120,130,CallBoundFunction
code-creation,Builtin,3,1471,0x138d1c0,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1473,0x138d240,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1476,0x138d2c0,105,Call_ReceiverIsAny
code-creation,Builtin,3,1478,0x138d340,890,CallProxy
code-creation,Builtin,3,1480,0x138d6c0,78,CallVarargs
code-creation,Builtin,3,1482,0x138d720,996,CallWithSpread
code-creation,Builtin,3,1487,0x138db20,990,CallWithArrayLike
code-creation,Builtin,3,1489,0x138df00,103,CallForwardVarargs
code-creation,Builtin,3,1491,0x138df80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,1493,0x138e000,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,1496,0x138e0a0,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,1498,0x138e1c0,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,1501,0x138e340,26,ConstructFunction
code-creation,Builtin,3,1503,0x138e360,130,ConstructBoundFunction
code-creation,Builtin,3,1510,0x138e400,28,ConstructedNonConstructable
code-creation,Builtin,3,1514,0x138e420,86,Construct
code-creation,Builtin,3,1516,0x138e480,78,ConstructVarargs
code-creation,Builtin,3,1519,0x138e4e0,1020,ConstructWithSpread
code-creation,Builtin,3,1521,0x138e8e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,1524,0x138ed20,142,ConstructForwardVarargs
code-creation,Builtin,3,1526,0x138edc0,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1529,0x138ee60,328,JSConstructStubGeneric
code-creation,Builtin,3,1532,0x138efc0,244,JSBuiltinsConstructStub
code-creation,Builtin,3,1535,0x138f0c0,943,FastNewObject
code-creation,Builtin,3,1537,0x138f480,301,FastNewClosure
code-creation,Builtin,3,1539,0x138f5c0,213,FastNewFunctionContextEval
code-creation,Builtin,3,1542,0x138f6a0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,1545,0x138f780,258,CreateRegExpLiteral
code-creation,Builtin,3,1548,0x138f8a0,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,1551,0x138fb00,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,1554,0x138ffc0,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,1557,0x1390680,866,ConstructProxy
code-creation,Builtin,3,1559,0x1390a00,188,JSEntry
code-creation,Builtin,3,1562,0x1390ac0,188,JSConstructEntry
code-creation,Builtin,3,1565,0x1390b80,188,JSRunMicrotasksEntry
code-creation,Builtin,3,1568,0x1390c40,98,JSEntryTrampoline
code-creation,Builtin,3,1570,0x1390cc0,98,JSConstructEntryTrampoline
code-creation,Builtin,3,1573,0x1390d40,310,ResumeGeneratorTrampoline
code-creation,Builtin,3,1576,0x1390e80,721,StringCharAt
code-creation,Builtin,3,1579,0x1391160,890,StringCodePointAt
code-creation,Builtin,3,1581,0x13914e0,1433,StringFromCodePointAt
code-creation,Builtin,3,1584,0x1391a80,580,StringEqual
code-creation,Builtin,3,1587,0x1391ce0,288,StringGreaterThan
code-creation,Builtin,3,1590,0x1391e20,288,StringGreaterThanOrEqual
code-creation,Builtin,3,1596,0x1391f60,1234,StringIndexOf
code-creation,Builtin,3,1599,0x1392440,288,StringLessThan
code-creation,Builtin,3,1602,0x1392580,288,StringLessThanOrEqual
code-creation,Builtin,3,1605,0x13926c0,3376,StringSubstring
code-creation,Builtin,3,1608,0x1393400,120,OrderedHashTableHealIndex
code-creation,Builtin,3,1611,0x1393480,851,InterpreterEntryTrampoline
code-creation,Builtin,3,1614,0x13937e0,82,InterpreterPushArgsThenCall
code-creation,Builtin,3,1616,0x1393840,88,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,1620,0x13938a0,85,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,1623,0x1393900,81,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,1626,0x1393960,81,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,1629,0x13939c0,84,InterpreterPushArgsThenConstructWithFinalSpread
